"COD_Ateneo";"NomeEsteso";"NomeOperativo";"Status";"Tipologia";"StataleLibera";"VIA";"COMUNE";"PROVINCIA";"REGIONE";"NOME_REGIONE_MACRO_ISTAT";"URL";"Ateneo_dimensione"
"00101";"Università degli studi di Torino";"Torino";"Attivo    ";"Università";"Statale   ";"Via Verdi, 8";"TORINO";"TORINO";"PIEMONTE";"NORD-OVEST";"www.unito.it";"60.000 e oltre"
"00102";"Politecnico di Torino";"Torino Politecnico";"Attivo    ";"Politecnico";"Statale   ";"Corso Duca degli Abruzzi, 24";"TORINO";"TORINO";"PIEMONTE";"NORD-OVEST";"www.polito.it";"da 30.000 a 59.999"
"00103";"Istituto Superiore di Educazione Fisica di Torino";"Torino ISEF";"Non attivo";"ISEF";"Non Statale";;"TORINO";"TORINO";"PIEMONTE";"NORD-OVEST";;
"00201";"Università degli studi del Piemonte orientale ""Amedeo Avogadro""";"Piemonte Orientale";"Attivo    ";"Università";"Statale   ";"Via Duomo, 6";"VERCELLI";"VERCELLI";"PIEMONTE";"NORD-OVEST";"www.uniupo.it";"da 10.000 a 19.999"
"00401";"Università di Scienze Gastronomiche";"Bra Scienze Gastronomiche";"Attivo    ";"Università";"Non Statale";"P.zza Vittorio Emanuele, 9";"BRA";"CUNEO";"PIEMONTE";"NORD-OVEST";"www.unisg.it";"inferiore a 10.000"
"00701";"Università della Valle d'Aosta";"Aosta";"Attivo    ";"Università";"Non Statale";"Strada Cappuccini, 2A";"AOSTA";"AOSTA";"VALLE D'AOSTA";"NORD-OVEST";"www.univda.it";"inferiore a 10.000"
"01001";"Università degli studi di Genova";"Genova";"Attivo    ";"Università";"Statale   ";"Via Balbi, 5";"GENOVA";"GENOVA";"LIGURIA";"NORD-OVEST";"www.unige.it";"da 30.000 a 59.999"
"01201";"Università ""Carlo Cattaneo"" (LIUC)";"Castellanza LIUC";"Attivo    ";"Università";"Non Statale";"Corso Matteotti, 22";"CASTELLANZA";"VARESE";"LOMBARDIA";"NORD-OVEST";"www.liuc.it";"inferiore a 10.000"
"01202";"Università degli studi dell' Insubria";"Insubria";"Attivo    ";"Università";"Statale   ";"Via Ravasi, 2";"VARESE";"VARESE";"LOMBARDIA";"NORD-OVEST";"www.uninsubria.it";"da 10.000 a 19.999"
"01301";"Università telematica ""e-Campus"" di Novedrate (CO)";"Novedrate e-Campus - telematica";"Attivo    ";"Università telematica";"Non Statale";"Via Isimbardi, 10";"NOVEDRATE";"COMO";"LOMBARDIA";"NORD-OVEST";"www.uniecampus.it";"da 20.000 a 29.999"
"01501";"Università degli studi di Milano";"Milano";"Attivo    ";"Università";"Statale   ";"Via Festa del Perdono, 7";"MILANO";"MILANO";"LOMBARDIA";"NORD-OVEST";"www.unimi.it";"60.000 e oltre"
"01502";"Politecnico di Milano";"Milano Politecnico";"Attivo    ";"Politecnico";"Statale   ";"Piazza Leonardo da Vinci, 32";"MILANO";"MILANO";"LOMBARDIA";"NORD-OVEST";"www.polimi.it";"da 30.000 a 59.999"
"01503";"Università commerciale Luigi Bocconi di Milano";"Milano Bocconi";"Attivo    ";"Università";"Non Statale";"Via Sarfatti, 25";"MILANO";"MILANO";"LOMBARDIA";"NORD-OVEST";"www.unibocconi.it";"da 10.000 a 19.999"
"01504";"Università Cattolica del ""Sacro Cuore""";"Milano Cattolica";"Attivo    ";"Università";"Non Statale";"Largo Gemelli, 1";"MILANO";"MILANO";"LOMBARDIA";"NORD-OVEST";"www.unicatt.it";"da 30.000 a 59.999"
"01505";"Libera Università di Lingue e Comunicazione (IULM)";"Milano IULM";"Attivo    ";"Università";"Non Statale";"Via Carlo Bo, 1";"MILANO";"MILANO";"LOMBARDIA";"NORD-OVEST";"www.iulm.it";"inferiore a 10.000"
"01506";"Istituto Superiore di Educazione Fisica di Milano";"Milano ISEF";"Non attivo";"ISEF";"Non Statale";;"MILANO";"MILANO";"LOMBARDIA";"NORD-OVEST";;
"01507";"Istituto Superiore di Educazione Fisica della Lombardia";"Milano ISEF Lombardia";"Non attivo";"ISEF";"Non Statale";;"MILANO";"MILANO";"LOMBARDIA";"NORD-OVEST";;
"01508";"Libera Università, Vita-Salute San Raffaele di Milano";"Milano San Raffaele";"Attivo    ";"Università";"Non Statale";"Via Olgettina, 58";"MILANO";"MILANO";"LOMBARDIA";"NORD-OVEST";"www.unisr.it";"inferiore a 10.000"
"01509";"Università degli studi di Milano-Bicocca";"Milano Bicocca";"Attivo    ";"Università";"Statale   ";"Piazza dell' Ateneo Nuovo, 1";"MILANO";"MILANO";"LOMBARDIA";"NORD-OVEST";"www.unimib.it";"da 30.000 a 59.999"
"01510";"Humanitas University";"Rozzano (MI) Humanitas University";"Attivo    ";"Università";"Non Statale";"Via A. Manzoni, 113";"ROZZANO";"MILANO";"LOMBARDIA";"NORD-OVEST";"https://www.hunimed.eu/";"inferiore a 10.000"
"01601";"Università degli studi di Bergamo";"Bergamo";"Attivo    ";"Università";"Statale   ";"Via Salvecchio, 19";"BERGAMO";"BERGAMO";"LOMBARDIA";"NORD-OVEST";"www.unibg.it";"da 20.000 a 29.999"
"01701";"Università degli studi di Brescia";"Brescia";"Attivo    ";"Università";"Statale   ";"Piazza del Mercato, 15";"BRESCIA";"BRESCIA";"LOMBARDIA";"NORD-OVEST";"www.unibs.it";"da 10.000 a 19.999"
"01801";"Università degli studi di Pavia";"Pavia";"Attivo    ";"Università";"Statale   ";"Corso Strada Nuova, 65";"PAVIA";"PAVIA";"LOMBARDIA";"NORD-OVEST";"www.unipv.it";"da 20.000 a 29.999"
"01802";"Istituto universitario di studi superiori di Pavia";"Pavia IUSS";"Attivo    ";"Scuola Superiore ad Ordinamento Speciale";"Statale   ";"Palazzo del Broletto – P.zza della Vittoria";"PAVIA";"PAVIA";"LOMBARDIA";"NORD-OVEST";"www.iusspavia.it";
