ANNO;AteneoCOD;AteneoNOME;AteneoREGIONE;AteneoAREAGEO;Classe_Voto_Laurea;Genere;LAU
2021;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;66-90;M;807
2021;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;101-105;F;1760
2021;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;voto non previsto;M;2
2021;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;voto non previsto;F;1
2021;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;91-100;F;2520
2021;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;66-90;F;870
2021;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;110 e lode;M;1086
2021;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;110 e lode;F;2018
2021;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;106-110;M;1073
2021;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;106-110;F;2089
2021;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;101-105;M;970
2021;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;91-100;M;1630
2021;00102;Torino - Politecnico;Piemonte;NORD-OVEST;101-105;F;501
2021;00102;Torino - Politecnico;Piemonte;NORD-OVEST;66-90;F;486
2021;00102;Torino - Politecnico;Piemonte;NORD-OVEST;91-100;M;1656
2021;00102;Torino - Politecnico;Piemonte;NORD-OVEST;91-100;F;779
2021;00102;Torino - Politecnico;Piemonte;NORD-OVEST;66-90;M;1542
2021;00102;Torino - Politecnico;Piemonte;NORD-OVEST;110 e lode;M;736
2021;00102;Torino - Politecnico;Piemonte;NORD-OVEST;110 e lode;F;362
2021;00102;Torino - Politecnico;Piemonte;NORD-OVEST;106-110;M;1151
2021;00102;Torino - Politecnico;Piemonte;NORD-OVEST;101-105;M;1033
2021;00102;Torino - Politecnico;Piemonte;NORD-OVEST;106-110;F;547
2021;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";Piemonte;NORD-OVEST;66-90;F;153
2021;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";Piemonte;NORD-OVEST;101-105;F;320
2021;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";Piemonte;NORD-OVEST;91-100;M;273
2021;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";Piemonte;NORD-OVEST;91-100;F;455
2021;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";Piemonte;NORD-OVEST;66-90;M;160
